Title,Sex.x,Age,Skinny,Date_Time,Year,Sex.y,Age_Class,Strength,Degree,Betweenness,Eigenvector
1110,NA,Adult,No,1996-07-30,1996,NA,Adult,1.66666666666667,2,0,0.0584753366240389
1114,Male,Adult,No,1996-08-01,1996,Male,Adult,1.80555555555556,6,0.0522012578616352,0.0257984883267184
1114,Male,Adult,No,1996-08-06,1996,Male,Adult,1.80555555555556,6,0.0522012578616352,0.0257984883267184
1114,Male,Adult,No,1996-08-22,1996,Male,Adult,1.80555555555556,6,0.0522012578616352,0.0257984883267184
1114,Male,Adult,No,1996-08-27,1996,Male,Adult,1.80555555555556,6,0.0522012578616352,0.0257984883267184
1114,Male,Adult,No,1997-06-09,1997,Male,Adult,0.5,1,0,8.7181555739335e-4
1114,Male,Adult,No,1997-06-17,1997,Male,Adult,0.5,1,0,8.7181555739335e-4
1114,Male,Adult,No,1999-08-21,1999,Male,Adult,4.66666666666667,6,0,0.394879180654731
1114,Male,Adult,No,2008-09-03,2008,Male,Adult,3,3,0,1
1114,Male,Adult,No,2018-03-16,2018,NA,NA,NA,NA,NA,NA
1116,NA,Adult,No,1996-08-01,1996,NA,Adult,2.73333333333333,4,0,0.0167973041230093
1121,NA,Adult,No,1996-08-08,1996,NA,Adult,7.15238095238095,16,0.0429469901168014,0.610778228102325
1121,NA,Adult,No,1996-08-25,1996,NA,Adult,7.15238095238095,16,0.0429469901168014,0.610778228102325
1121,NA,Adult,No,1996-08-27,1996,NA,Adult,7.15238095238095,16,0.0429469901168014,0.610778228102325
1123,Male,Adult,No,1996-08-21,1996,NA,NA,NA,NA,NA,NA
1124,NA,Adult,No,1996-08-21,1996,NA,Adult,0.333333333333333,1,0,0.00259440511065263
1126,FemaleJ,Adult,No,1996-08-21,1996,FemaleJ,Adult,0.733333333333333,2,0,0.0148264499763771
1130,NA,Adult,No,1996-08-22,1996,NA,NA,NA,NA,NA,NA
1134,Male,Adult,No,1996-08-22,1996,Male,Adult,0.9,2,0,0.00259169097627187
1136,NA,Juvenile,No,1996-08-23,1996,NA,Juvenile,1.83333333333333,3,0,0.00101897833164542
1140,NA,Adult,No,1996-08-25,1996,NA,Adult,4.66666666666667,8,0,0.381307756301788
1142,NA,Adult,No,1996-08-25,1996,NA,Adult,11.3571428571429,20,0.0395627433363282,1
1142,NA,Adult,No,1996-08-27,1996,NA,Adult,11.3571428571429,20,0.0395627433363282,1
1146,NA,Adult,No,1997-08-24,1997,NA,Adult,5.32222222222222,11,0.00331564986737401,0.0913937927096675
1146,NA,Adult,No,1997-08-25,1997,NA,Adult,5.32222222222222,11,0.00331564986737401,0.0913937927096675
1146,NA,Adult,No,1998-07-12,1998,NA,Adult,6.40138532777852,24,0.00644257703081232,0.595474578499329
1146,NA,Adult,No,1998-07-13,1998,NA,Adult,6.40138532777852,24,0.00644257703081232,0.595474578499329
1146,NA,Adult,No,1998-07-19,1998,NA,Adult,6.40138532777852,24,0.00644257703081232,0.595474578499329
1146,NA,Adult,No,1998-07-20,1998,NA,Adult,6.40138532777852,24,0.00644257703081232,0.595474578499329
1146,NA,Adult,No,1998-07-26,1998,NA,Adult,6.40138532777852,24,0.00644257703081232,0.595474578499329
1146,NA,Adult,No,1998-07-27,1998,NA,Adult,6.40138532777852,24,0.00644257703081232,0.595474578499329
1146,NA,Adult,No,1998-07-28,1998,NA,Adult,6.40138532777852,24,0.00644257703081232,0.595474578499329
1146,NA,Adult,No,1998-08-09,1998,NA,Adult,6.40138532777852,24,0.00644257703081232,0.595474578499329
1146,NA,Adult,No,1998-08-11,1998,NA,Adult,6.40138532777852,24,0.00644257703081232,0.595474578499329
1146,NA,Adult,No,1998-08-15,1998,NA,Adult,6.40138532777852,24,0.00644257703081232,0.595474578499329
1146,NA,Adult,No,1999-08-17,1999,NA,Adult,0.5,1,0,0.0161258359594052
1147,FemaleJ,Adult,No,1996-08-27,1996,FemaleJ,Adult,8.56666666666667,13,0,0.958284798915739
1147,FemaleJ,Adult,No,1997-08-13,1997,FemaleJ,Adult,3.06666666666667,4,0,0.178400709322484
1147,FemaleJ,Adult,No,1998-07-27,1998,FemaleJ,Adult,0.714285714285714,2,0,0.0227109519530951
1147,FemaleJ,Adult,No,1998-08-09,1998,FemaleJ,Adult,0.714285714285714,2,0,0.0227109519530951
1147,FemaleJ,Adult,No,1998-08-16,1998,FemaleJ,Adult,0.714285714285714,2,0,0.0227109519530951
1147,FemaleJ,Adult,No,1999-07-19,1999,FemaleJ,Adult,10.2651515151515,29,0.0401754385964912,0.407289060208469
1147,FemaleJ,Adult,No,1999-07-23,1999,FemaleJ,Adult,10.2651515151515,29,0.0401754385964912,0.407289060208469
1147,FemaleJ,Adult,No,1999-08-12,1999,FemaleJ,Adult,10.2651515151515,29,0.0401754385964912,0.407289060208469
