"Title","Sex","Age","Skinny","Date_Time"
"1309",NA,"Adult","No",1997-08-12
"131","FemaleJ","Adult","No",1989-08-11
"131","FemaleJ","Adult","No",1994-08-11
"131","FemaleJ","Adult","No",1995-08-29
"131","FemaleJ","Adult","No",1997-08-24
"131","FemaleJ","Adult","No",1997-08-25
"131","FemaleJ","Adult","No",1998-07-14
"131","FemaleJ","Adult","No",1998-07-19
"131","FemaleJ","Adult","No",1998-07-20
"131","FemaleJ","Adult","Yes",1998-07-26
"131","FemaleJ","Adult","No",1998-07-28
"131","FemaleJ","Adult","Yes",1998-08-09
"131","FemaleJ","Adult","Yes",1998-08-10
"131","FemaleJ","Adult","Yes",1998-08-11
"131","FemaleJ","Adult","Yes",1998-08-15
"131","FemaleJ","Adult","No",1998-08-16
"131","FemaleJ","Adult","No",1999-07-15
"131","FemaleJ","Adult","Yes",1999-08-17
"131","FemaleJ","Adult","No",1999-08-18
"1311",NA,"Adult","No",1997-08-12
"1311",NA,"Adult","No",1997-08-13
"1313","FemaleJ","Adult","No",1997-08-12
"1313","FemaleJ","Adult","No",1998-07-21
"1313","FemaleJ","Adult","No",1998-07-25
"1313","FemaleJ","Adult","No",1998-07-26
"1313","FemaleJ","Adult","No",2001-08-21
"1313","FemaleJ","Adult","No",2001-08-29
"1313","FemaleJ","Adult","No",2002-08-05
"1313","FemaleJ","Adult","No",2002-08-14
"1313","FemaleJ","Adult","No",2002-08-22
"1313","FemaleJ","Adult","No",2006-08-03
"1313","FemaleJ","Adult","Yes",2011-08-31
"1315","FemaleJ","Adult","No",1997-08-13
"1317",NA,"Adult","No",1997-08-13
"1317",NA,"Adult","No",1997-08-16
"1318","FemaleJ","Adult","Yes",1997-08-13
"132",NA,"Adult","No",1989-08-11
"1320",NA,"Adult","No",1997-08-13
"1325","FemaleJ","Adult","No",1997-08-13
"1329","FemaleJ","Adult","No",1997-08-14
"1329","FemaleJ","Adult","No",1998-07-20
"1332","FemaleJ","Adult","No",1997-08-16
"1332","FemaleJ","Adult","No",1998-07-22
"1332","FemaleJ","Adult","No",1998-07-26
"1332","FemaleJ","Adult","No",1998-07-27
"1332","FemaleJ","Adult","No",1999-07-24
"1334","FemaleJ","Juvenile","No",1997-08-16
"1334","FemaleJ","Juvenile","No",1998-07-22
"1334","FemaleJ","Juvenile","No",1998-07-26
"1334","FemaleJ","Juvenile","No",1998-07-27
"1334","FemaleJ","Adult","No",1999-08-11
"1334","FemaleJ","Adult","No",1999-08-21
"1335",NA,"Adult","No",1996-08-01
"1335",NA,"Adult","No",1997-08-16
"1335",NA,"Adult","No",1997-08-25
"1336","FemaleJ","Adult","No",1994-08-13
"1336","FemaleJ","Adult","No",1997-08-16
"1336","FemaleJ","Adult","No",1998-08-15
"1336","FemaleJ","Adult","No",1999-08-21
"1336","FemaleJ","Adult","No",2001-08-21
"1336","FemaleJ","Adult","No",2011-08-14
"1336","FemaleJ","Adult","No",2011-08-17
"1336","FemaleJ","Adult","No",2011-08-24
"1337","FemaleJ","Adult","No",1997-08-16
"1337","FemaleJ","Adult","No",1997-08-20
"1337","FemaleJ","Adult","No",1997-08-24
"1337","FemaleJ","Adult","No",1997-08-25
"1337","FemaleJ","Adult","No",1998-07-14
