"Title","Sex","Age","Skinny","Date_Time","Year"
"1116",NA,"Adult","No",1996-08-01,1996
"1121",NA,"Adult","No",1996-08-08,1996
"1121",NA,"Adult","No",1996-08-25,1996
"1121",NA,"Adult","No",1996-08-27,1996
"1123","Male","Adult","No",1996-08-21,1996
"1124",NA,"Adult","No",1996-08-21,1996
"1126","FemaleJ","Adult","No",1996-08-21,1996
"1130",NA,"Adult","No",1996-08-22,1996
"1134","Male","Adult","No",1996-08-22,1996
"1136",NA,"Juvenile","No",1996-08-23,1996
"1140",NA,"Adult","No",1996-08-25,1996
"1142",NA,"Adult","No",1996-08-25,1996
"1142",NA,"Adult","No",1996-08-27,1996
"1146",NA,"Adult","No",1997-08-24,1997
"1146",NA,"Adult","No",1997-08-25,1997
"1146",NA,"Adult","No",1998-07-12,1998
"1146",NA,"Adult","No",1998-07-13,1998
"1146",NA,"Adult","No",1998-07-19,1998
"1146",NA,"Adult","No",1998-07-20,1998
"1146",NA,"Adult","No",1998-07-26,1998
"1146",NA,"Adult","No",1998-07-27,1998
"1146",NA,"Adult","No",1998-07-28,1998
"1146",NA,"Adult","No",1998-08-09,1998
"1146",NA,"Adult","No",1998-08-11,1998
"1146",NA,"Adult","No",1998-08-15,1998
"1146",NA,"Adult","No",1999-08-17,1999
"1147","FemaleJ","Adult","No",1996-08-27,1996
"1147","FemaleJ","Adult","No",1997-08-13,1997
"1147","FemaleJ","Adult","No",1998-07-27,1998
"1147","FemaleJ","Adult","No",1998-08-09,1998
"1147","FemaleJ","Adult","No",1998-08-16,1998
"1147","FemaleJ","Adult","No",1999-07-19,1999
"1147","FemaleJ","Adult","No",1999-07-23,1999
"1147","FemaleJ","Adult","No",1999-08-12,1999
"1147","FemaleJ","Adult","No",1999-08-18,1999
"1147","FemaleJ","Adult","No",2006-07-26,2006
"1147","FemaleJ","Adult","No",2006-08-01,2006
"1147","FemaleJ","Adult","No",2010-07-24,2010
"1147","FemaleJ","Adult","No",2010-07-28,2010
"1147","FemaleJ","Adult","No",2010-07-30,2010
"1147","FemaleJ","Adult","No",2010-08-03,2010
"1147","FemaleJ","Adult","No",2015-08-03,2015
"1148",NA,"Adult","No",1996-08-25,1996
"1148",NA,"Adult","No",1996-08-27,1996
"115",NA,"Adult","No",1989-08-10,1989
"115",NA,"Adult","No",1990-08-05,1990
"115",NA,"Adult","No",1990-08-09,1990
"1152",NA,"Adult","No",1996-08-27,1996
"1153",NA,"Adult","No",1996-08-27,1996
"1155","FemaleJ","Adult","No",1996-08-27,1996
"1155","FemaleJ","Adult","No",1998-07-19,1998
"1155","FemaleJ","Adult","No",1998-07-23,1998
"1155","FemaleJ","Adult","No",1998-07-26,1998
"1155","FemaleJ","Adult","No",1998-07-27,1998
"1155","FemaleJ","Adult","No",1998-07-28,1998
"1155","FemaleJ","Adult","No",1998-08-08,1998
"1155","FemaleJ","Adult","No",1998-08-09,1998
"1155","FemaleJ","Adult","No",1998-08-15,1998
"1155","FemaleJ","Adult","No",1998-08-20,1998
"1155","FemaleJ","Adult","No",1998-08-21,1998
"1158",NA,"Adult","No",1996-08-27,1996
"116",NA,"Adult","No",1989-08-10,1989
"1160",NA,"Adult","No",1996-08-27,1996
"1163","FemaleJ","Juvenile","No",1996-08-27,1996
"1168",NA,"Adult","No",1996-08-27,1996
"1173","Male","Adult","No",1996-08-27,1996
"1173","Male","Adult","No",1996-08-28,1996
"1173","Male","Adult","No",2001-08-30,2001
"1174","FemaleJ","Adult","No",1996-08-27,1996
"1176",NA,"Adult","No",1996-08-27,1996
"1179","Male","Adult","No",1996-08-27,1996
"118","Male","Adult","No",1989-08-10,1989
"118","Male","Adult","No",1998-07-14,1998
"118","Male","Adult","No",1998-07-19,1998
"118","Male","Adult","No",1998-07-20,1998
"118","Male","Adult","No",1998-07-27,1998
"118","Male","Adult","No",1998-07-28,1998
"118","Male","Adult","No",1998-07-29,1998
"1183",NA,"Adult","No",1996-06-09,1996
"1185",NA,"Adult","No",1996-06-12,1996
"119",NA,"Adult","No",1989-08-10,1989
"1190",NA,"Adult","No",1996-08-28,1996
"120","Male","Adult","No",1989-08-10,1989
"120","Male","Adult","No",1996-06-09,1996
"120","Male","Adult","No",1996-06-17,1996
"120","Male","Adult","Yes",1996-06-22,1996
"120","Male","Adult","No",1997-06-11,1997
